iter 00001 | success 0.014 | cost 50.0 | policy_loss 0.00157 | value_loss 9107.46283 | Vmean -0.046 | Rmean 61.555 | Vrmse 135.045 | VexpVar -0.000 | adv_std 120.177 | elapsed 50.19s
iter 00002 | success 0.015 | cost 62.5 | policy_loss -0.00009 | value_loss 8582.53284 | Vmean 0.271 | Rmean 58.049 | Vrmse 131.090 | VexpVar 0.000 | adv_std 117.670 | elapsed 50.59s
iter 00003 | success 0.026 | cost 71.6 | policy_loss 0.00069 | value_loss 7586.64252 | Vmean 0.735 | Rmean 48.433 | Vrmse 123.251 | VexpVar 0.001 | adv_std 113.648 | elapsed 49.43s
iter 00004 | success 0.017 | cost 71.8 | policy_loss -0.00031 | value_loss 7785.65854 | Vmean 1.430 | Rmean 52.617 | Vrmse 124.860 | VexpVar 0.002 | adv_std 113.885 | elapsed 49.66s
iter 00005 | success 0.027 | cost 79.1 | policy_loss -0.00003 | value_loss 7025.89688 | Vmean 2.121 | Rmean 46.137 | Vrmse 118.598 | VexpVar 0.004 | adv_std 110.128 | elapsed 50.34s
iter 00006 | success 0.027 | cost 75.9 | policy_loss -0.00017 | value_loss 7053.41431 | Vmean 3.450 | Rmean 46.500 | Vrmse 118.845 | VexpVar 0.006 | adv_std 110.774 | elapsed 50.43s
iter 00007 | success 0.041 | cost 85.3 | policy_loss -0.00010 | value_loss 6841.30835 | Vmean 3.633 | Rmean 40.493 | Vrmse 117.027 | VexpVar 0.009 | adv_std 111.070 | elapsed 50.17s
iter 00008 | success 0.047 | cost 101.0 | policy_loss -0.00006 | value_loss 6449.86011 | Vmean 4.289 | Rmean 37.463 | Vrmse 113.639 | VexpVar 0.012 | adv_std 108.689 | elapsed 50.88s
iter 00009 | success 0.045 | cost 102.1 | policy_loss -0.00002 | value_loss 6212.88434 | Vmean 4.706 | Rmean 35.951 | Vrmse 111.501 | VexpVar 0.015 | adv_std 107.034 | elapsed 50.59s
iter 00010 | success 0.052 | cost 103.3 | policy_loss -0.00008 | value_loss 6417.12576 | Vmean 5.963 | Rmean 36.892 | Vrmse 113.352 | VexpVar 0.021 | adv_std 109.050 | elapsed 50.04s
iter 00011 | success 0.060 | cost 96.6 | policy_loss -0.00009 | value_loss 6153.37628 | Vmean 6.215 | Rmean 31.537 | Vrmse 111.000 | VexpVar 0.023 | adv_std 108.074 | elapsed 49.90s
iter 00012 | success 0.072 | cost 106.9 | policy_loss -0.00004 | value_loss 6365.63953 | Vmean 6.336 | Rmean 31.083 | Vrmse 112.887 | VexpVar 0.029 | adv_std 110.142 | elapsed 50.62s
iter 00013 | success 0.077 | cost 103.5 | policy_loss -0.00003 | value_loss 6450.01822 | Vmean 5.950 | Rmean 28.782 | Vrmse 113.635 | VexpVar 0.031 | adv_std 111.318 | elapsed 49.45s
iter 00014 | success 0.088 | cost 112.4 | policy_loss -0.00010 | value_loss 6643.57843 | Vmean 6.087 | Rmean 28.484 | Vrmse 115.320 | VexpVar 0.035 | adv_std 113.124 | elapsed 49.76s
iter 00015 | success 0.099 | cost 112.9 | policy_loss -0.00006 | value_loss 6692.95428 | Vmean 6.797 | Rmean 25.767 | Vrmse 115.763 | VexpVar 0.043 | adv_std 114.198 | elapsed 49.72s
iter 00016 | success 0.120 | cost 107.3 | policy_loss -0.00004 | value_loss 7098.11697 | Vmean 6.293 | Rmean 20.175 | Vrmse 119.211 | VexpVar 0.055 | adv_std 118.400 | elapsed 49.95s
iter 00017 | success 0.122 | cost 113.3 | policy_loss -0.00007 | value_loss 6887.66159 | Vmean 6.572 | Rmean 19.015 | Vrmse 117.431 | VexpVar 0.061 | adv_std 116.770 | elapsed 49.56s
