iter 00001 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.00563 | energy_loss 414.51783 | reach_loss 92103.41484 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 14.55s
iter 00002 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.02927 | energy_loss 263.66879 | reach_loss 87220.94063 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 15.37s
iter 00003 | success 0.016 | cost 0.0 | energy 0.0 | actor_loss -0.05642 | energy_loss 383.29071 | reach_loss 86440.88984 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 15.84s
iter 00004 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.07219 | energy_loss 330.20599 | reach_loss 92322.60508 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 15.77s
iter 00005 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.08439 | energy_loss 204.06435 | reach_loss 84705.27539 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 16.14s
iter 00006 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.07923 | energy_loss 423.24354 | reach_loss 116865.66602 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 16.04s
iter 00007 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.08484 | energy_loss 343.55582 | reach_loss 89911.33721 | entropy 4.2568 | gamma_reach 0.999238 | ent_coef 0.01000 | elapsed 15.95s
iter 00008 | success 0.031 | cost 62.0 | energy 64.4 | actor_loss -0.09039 | energy_loss 242.66502 | reach_loss 83941.18105 | entropy 4.2568 | gamma_reach 0.999277 | ent_coef 0.01000 | elapsed 15.92s
iter 00009 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.10523 | energy_loss 283.04621 | reach_loss 94741.95410 | entropy 4.2568 | gamma_reach 0.999317 | ent_coef 0.01000 | elapsed 15.87s
iter 00010 | success 0.016 | cost 0.0 | energy 0.0 | actor_loss -0.09959 | energy_loss 273.77102 | reach_loss 88719.41855 | entropy 4.2568 | gamma_reach 0.999356 | ent_coef 0.01000 | elapsed 15.50s
iter 00011 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.10793 | energy_loss 276.86199 | reach_loss 101408.67480 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 15.63s
iter 00012 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.11082 | energy_loss 210.06759 | reach_loss 101914.09248 | entropy 4.2568 | gamma_reach 0.999436 | ent_coef 0.01000 | elapsed 15.67s
iter 00013 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.11322 | energy_loss 190.33867 | reach_loss 111338.82920 | entropy 4.2568 | gamma_reach 0.999475 | ent_coef 0.01000 | elapsed 15.51s
iter 00014 | success 0.016 | cost 108.0 | energy 317.7 | actor_loss -0.08075 | energy_loss 297.59421 | reach_loss 105058.28535 | entropy 4.2568 | gamma_reach 0.999515 | ent_coef 0.01000 | elapsed 15.52s
