iter 00001 | success 0.010 | cost 38.0 | energy 234.7 | actor_loss 0.19152 | energy_loss 119.75221 | reach_loss 94795.82393 | entropy 2.1751 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.83s
iter 00002 | success 0.032 | cost 86.4 | energy 556.6 | actor_loss 0.16456 | energy_loss 0.67660 | reach_loss 93621.70713 | entropy 2.1435 | gamma_reach 0.999001 | ent_coef 0.00100 | elapsed 26.28s
iter 00003 | success 0.042 | cost 53.2 | energy 548.8 | actor_loss 0.23449 | energy_loss 0.28928 | reach_loss 109065.25693 | entropy 2.2276 | gamma_reach 0.999003 | ent_coef 0.00100 | elapsed 27.58s
iter 00004 | success 0.048 | cost 57.5 | energy 571.0 | actor_loss 0.16895 | energy_loss 0.38027 | reach_loss 107711.33711 | entropy 2.2434 | gamma_reach 0.999004 | ent_coef 0.00100 | elapsed 27.65s
iter 00005 | success 0.026 | cost 35.2 | energy 467.4 | actor_loss 0.30749 | energy_loss 0.23285 | reach_loss 105434.17441 | entropy 2.3088 | gamma_reach 0.999005 | ent_coef 0.00100 | elapsed 27.55s
iter 00006 | success 0.017 | cost 8.8 | energy 326.6 | actor_loss 0.29066 | energy_loss 0.21817 | reach_loss 126552.86045 | entropy 2.3121 | gamma_reach 0.999007 | ent_coef 0.00100 | elapsed 27.85s
iter 00007 | success 0.018 | cost 41.9 | energy 373.6 | actor_loss 0.30816 | energy_loss 0.22120 | reach_loss 158073.49141 | entropy 2.3246 | gamma_reach 0.999008 | ent_coef 0.00100 | elapsed 26.11s
iter 00008 | success 0.014 | cost 9.9 | energy 439.1 | actor_loss 0.34271 | energy_loss 0.33829 | reach_loss 162745.54082 | entropy 2.4001 | gamma_reach 0.999009 | ent_coef 0.00100 | elapsed 27.40s
iter 00009 | success 0.012 | cost 7.8 | energy 311.2 | actor_loss 0.33164 | energy_loss 0.20909 | reach_loss 180199.48340 | entropy 2.5672 | gamma_reach 0.999011 | ent_coef 0.00099 | elapsed 28.24s
iter 00010 | success 0.011 | cost 10.0 | energy 327.7 | actor_loss 0.31042 | energy_loss 0.25528 | reach_loss 193770.75020 | entropy 2.6800 | gamma_reach 0.999012 | ent_coef 0.00099 | elapsed 28.36s
debug 00010 | std_mean 0.6034 | std_min 0.5786 | std_max 0.6348 | done_mean 0.9942 | energy_min_ratio 0.9717 | energy_neg_ratio 0.9867 | v_reach [-2.156e+03, 1.067e+02] | t_reach [-8.291e+02, 9.823e+02] | adv_total_std 1.217e+02
iter 00011 | success 0.009 | cost 13.8 | energy 275.4 | actor_loss 0.31746 | energy_loss 0.31338 | reach_loss 220293.44434 | entropy 2.8102 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 28.11s
iter 00012 | success 0.020 | cost 34.2 | energy 364.0 | actor_loss 0.32274 | energy_loss 0.43541 | reach_loss 230054.54199 | entropy 2.9545 | gamma_reach 0.999015 | ent_coef 0.00099 | elapsed 27.98s
iter 00013 | success 0.017 | cost 61.0 | energy 459.1 | actor_loss 0.32272 | energy_loss 0.35118 | reach_loss 203266.84434 | entropy 3.0862 | gamma_reach 0.999016 | ent_coef 0.00099 | elapsed 28.40s
iter 00014 | success 0.014 | cost 59.7 | energy 450.7 | actor_loss 0.23738 | energy_loss 0.59554 | reach_loss 240680.42363 | entropy 3.2242 | gamma_reach 0.999017 | ent_coef 0.00099 | elapsed 28.58s
iter 00015 | success 0.012 | cost 30.3 | energy 363.9 | actor_loss 0.32686 | energy_loss 0.40841 | reach_loss 271071.66758 | entropy 3.3750 | gamma_reach 0.999018 | ent_coef 0.00099 | elapsed 28.58s
iter 00016 | success 0.021 | cost 55.1 | energy 461.0 | actor_loss 0.31302 | energy_loss 0.55225 | reach_loss 296935.55508 | entropy 3.5190 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 28.60s
iter 00017 | success 0.018 | cost 50.0 | energy 440.4 | actor_loss 0.30900 | energy_loss 1.00465 | reach_loss 300785.35547 | entropy 3.6707 | gamma_reach 0.999021 | ent_coef 0.00099 | elapsed 28.62s
iter 00018 | success 0.025 | cost 72.8 | energy 526.6 | actor_loss 0.30739 | energy_loss 0.68790 | reach_loss 334040.42148 | entropy 3.8229 | gamma_reach 0.999022 | ent_coef 0.00099 | elapsed 28.72s
iter 00019 | success 0.070 | cost 107.1 | energy 557.1 | actor_loss 0.30455 | energy_loss 0.72480 | reach_loss 261673.31035 | entropy 3.9736 | gamma_reach 0.999024 | ent_coef 0.00099 | elapsed 28.71s
iter 00020 | success 0.125 | cost 99.9 | energy 577.8 | actor_loss 0.29313 | energy_loss 1.09656 | reach_loss 362569.80586 | entropy 4.1236 | gamma_reach 0.999025 | ent_coef 0.00099 | elapsed 28.63s
debug 00020 | std_mean 0.9760 | std_min 0.9345 | std_max 1.0000 | done_mean 0.9931 | energy_min_ratio 0.9721 | energy_neg_ratio 0.9869 | v_reach [-3.360e+03, 1.128e+03] | t_reach [-1.754e+03, 9.637e+02] | adv_total_std 1.036e+02
iter 00021 | success 0.152 | cost 91.1 | energy 562.8 | actor_loss 0.32231 | energy_loss 0.70058 | reach_loss 392690.15859 | entropy 4.2130 | gamma_reach 0.999026 | ent_coef 0.00099 | elapsed 28.73s
iter 00022 | success 0.111 | cost 74.3 | energy 566.6 | actor_loss 0.28319 | energy_loss 0.72285 | reach_loss 421954.30156 | entropy 4.2535 | gamma_reach 0.999028 | ent_coef 0.00099 | elapsed 28.73s
iter 00023 | success 0.135 | cost 94.1 | energy 580.3 | actor_loss 0.32888 | energy_loss 1.04688 | reach_loss 560863.54219 | entropy 4.2568 | gamma_reach 0.999029 | ent_coef 0.00099 | elapsed 28.74s
iter 00024 | success 0.278 | cost 73.0 | energy 580.3 | actor_loss 0.31528 | energy_loss 0.83507 | reach_loss 1245152.37031 | entropy 4.2568 | gamma_reach 0.999030 | ent_coef 0.00098 | elapsed 28.71s
iter 00025 | success 0.223 | cost 73.7 | energy 579.4 | actor_loss 0.33530 | energy_loss 1.86920 | reach_loss 3884306.74375 | entropy 4.2568 | gamma_reach 0.999032 | ent_coef 0.00098 | elapsed 28.71s
iter 00026 | success 0.271 | cost 76.1 | energy 590.0 | actor_loss 0.34297 | energy_loss 1.32491 | reach_loss 11169897.92500 | entropy 4.2568 | gamma_reach 0.999033 | ent_coef 0.00098 | elapsed 28.63s
iter 00027 | success 0.093 | cost 71.5 | energy 565.4 | actor_loss 0.33425 | energy_loss 1.43344 | reach_loss 26035297.12500 | entropy 4.2568 | gamma_reach 0.999034 | ent_coef 0.00098 | elapsed 28.55s
iter 00028 | success 0.043 | cost 63.5 | energy 497.1 | actor_loss 0.32955 | energy_loss 1.41728 | reach_loss 40538032.95000 | entropy 4.2568 | gamma_reach 0.999036 | ent_coef 0.00098 | elapsed 29.10s
iter 00029 | success 0.307 | cost 69.9 | energy 596.2 | actor_loss 0.32446 | energy_loss 1.55286 | reach_loss 60979953.80000 | entropy 4.2568 | gamma_reach 0.999037 | ent_coef 0.00098 | elapsed 29.54s
iter 00030 | success 0.271 | cost 77.5 | energy 575.4 | actor_loss 0.32678 | energy_loss 1.28983 | reach_loss 48003502.95000 | entropy 4.2568 | gamma_reach 0.999038 | ent_coef 0.00098 | elapsed 28.56s
