iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.06s
iter 00002 | success 0.009 | cost 60.7 | energy 86.2 | actor_loss 0.00027 | energy_loss 0.94776 | reach_loss 70628.81172 | mean_bound_loss 0.00000 | entropy 2.1754 | gamma_reach 0.999010 | ent_coef 0.00100 | elapsed 27.29s
iter 00003 | success 0.011 | cost 57.2 | energy 91.4 | actor_loss -0.00099 | energy_loss 1.01519 | reach_loss 74577.45928 | mean_bound_loss 0.00000 | entropy 2.1689 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 27.42s
iter 00004 | success 0.012 | cost 48.1 | energy 86.7 | actor_loss 0.01698 | energy_loss 4.29509 | reach_loss 74614.36602 | mean_bound_loss 0.00000 | entropy 2.1603 | gamma_reach 0.999030 | ent_coef 0.00098 | elapsed 26.70s
iter 00005 | success 0.018 | cost 77.6 | energy 148.0 | actor_loss 0.12526 | energy_loss 7.21669 | reach_loss 101295.53125 | mean_bound_loss 0.00045 | entropy 2.1602 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 26.93s
iter 00006 | success 0.031 | cost 58.6 | energy 158.7 | actor_loss 0.25003 | energy_loss 1.41314 | reach_loss 195492.87461 | mean_bound_loss 0.10824 | entropy 2.1672 | gamma_reach 0.999050 | ent_coef 0.00098 | elapsed 27.87s
iter 00007 | success 0.023 | cost 39.2 | energy 124.1 | actor_loss 0.16699 | energy_loss 8.46290 | reach_loss 212879.17617 | mean_bound_loss 0.34400 | entropy 2.1647 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 28.12s
iter 00008 | success 0.021 | cost 36.2 | energy 124.0 | actor_loss 0.21920 | energy_loss 40.19158 | reach_loss 206618.31797 | mean_bound_loss 0.82469 | entropy 2.1632 | gamma_reach 0.999069 | ent_coef 0.00097 | elapsed 28.05s
iter 00009 | success 0.026 | cost 30.3 | energy 109.7 | actor_loss 0.24570 | energy_loss 26.68336 | reach_loss 136440.33809 | mean_bound_loss 1.65532 | entropy 2.1629 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 28.18s
iter 00010 | success 0.022 | cost 36.8 | energy 119.9 | actor_loss 0.30110 | energy_loss 45.88856 | reach_loss 92126.65244 | mean_bound_loss 2.85461 | entropy 2.1637 | gamma_reach 0.999089 | ent_coef 0.00096 | elapsed 28.08s
debug 00010 | std_mean 0.4977 | std_min 0.4961 | std_max 0.5000 | done_mean 0.8951 | energy_min_ratio 0.3667 | energy_neg_ratio 0.6932 | e_cons [4.185e+00, 8.000e+00] | first_emin_step 127.29 | act_clip_ratio 0.3776 | act_abs [1.525e+00, 8.274e+00] | act_mean_abs [1.400e+00, 6.937e+00] | act_mean_clip_ratio 0.3194 | clipped_act_abs [6.286e-01, 1.000e+00] | init_energy [-3.993e+02, 1.848e+02, 7.992e+02] | v_reach [-7.628e+02, 1.029e+03] | t_reach [-6.566e+02, 1.440e+03] | reach_clip_ratio 0.0000 | open_ratio 0.1049 | t_done [-3.000e+02, 1.440e+03] | t_open [-6.566e+02, 7.722e+02] | v_open [-6.938e+02, 9.290e+02] | tmin_src done 0 t 199 v -6.204e+02 next_v -6.569e+02 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.983e+02 | adv_open_std 1.287e+02
