iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | reach_rate 0.011 | safe_rate 0.679 | unsafe_before_reach 0.000 | no_reach 0.989 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.18s
iter 00002 | success 0.009 | cost 60.7 | energy 86.2 | reach_rate 0.009 | safe_rate 0.685 | unsafe_before_reach 0.000 | no_reach 0.991 | actor_loss 0.00027 | energy_loss 0.94776 | reach_loss 70628.81172 | mean_bound_loss 0.00000 | entropy 2.1754 | gamma_reach 0.999010 | ent_coef 0.00100 | elapsed 26.59s
iter 00003 | success 0.011 | cost 57.2 | energy 91.4 | reach_rate 0.011 | safe_rate 0.656 | unsafe_before_reach 0.000 | no_reach 0.989 | actor_loss -0.00099 | energy_loss 1.01519 | reach_loss 74577.45928 | mean_bound_loss 0.00000 | entropy 2.1689 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 26.89s
iter 00004 | success 0.012 | cost 48.1 | energy 86.7 | reach_rate 0.012 | safe_rate 0.616 | unsafe_before_reach 0.000 | no_reach 0.988 | actor_loss 0.01698 | energy_loss 4.29509 | reach_loss 74614.36602 | mean_bound_loss 0.00000 | entropy 2.1603 | gamma_reach 0.999030 | ent_coef 0.00098 | elapsed 26.89s
iter 00005 | success 0.018 | cost 77.6 | energy 148.0 | reach_rate 0.018 | safe_rate 0.399 | unsafe_before_reach 0.000 | no_reach 0.982 | actor_loss 0.12348 | energy_loss 7.21669 | reach_loss 101295.53125 | mean_bound_loss 0.00045 | entropy 2.1602 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 26.81s
iter 00006 | success 0.031 | cost 60.6 | energy 151.9 | reach_rate 0.036 | safe_rate 0.169 | unsafe_before_reach 0.005 | no_reach 0.964 | actor_loss 0.44448 | energy_loss 1.41042 | reach_loss 197010.26777 | mean_bound_loss 0.14311 | entropy 2.1634 | gamma_reach 0.999050 | ent_coef 0.00098 | elapsed 27.50s
iter 00007 | success 0.026 | cost 40.2 | energy 130.3 | reach_rate 0.031 | safe_rate 0.087 | unsafe_before_reach 0.004 | no_reach 0.969 | actor_loss 0.20843 | energy_loss 8.08439 | reach_loss 232993.90488 | mean_bound_loss 0.37771 | entropy 2.1621 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 27.55s
iter 00008 | success 0.024 | cost 43.2 | energy 151.1 | reach_rate 0.029 | safe_rate 0.099 | unsafe_before_reach 0.005 | no_reach 0.971 | actor_loss 0.14689 | energy_loss 54.54682 | reach_loss 215348.35371 | mean_bound_loss 0.89223 | entropy 2.1593 | gamma_reach 0.999069 | ent_coef 0.00097 | elapsed 27.51s
iter 00009 | success 0.016 | cost 26.1 | energy 102.0 | reach_rate 0.019 | safe_rate 0.088 | unsafe_before_reach 0.003 | no_reach 0.981 | actor_loss 0.22145 | energy_loss 3.21385 | reach_loss 155901.94043 | mean_bound_loss 1.47684 | entropy 2.1567 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.54s
iter 00010 | success 0.018 | cost 34.0 | energy 100.3 | reach_rate 0.021 | safe_rate 0.068 | unsafe_before_reach 0.003 | no_reach 0.979 | actor_loss 0.27018 | energy_loss 16.23113 | reach_loss 97329.93838 | mean_bound_loss 2.34582 | entropy 2.1555 | gamma_reach 0.999089 | ent_coef 0.00096 | elapsed 27.42s
debug 00010 | std_mean 0.4967 | std_min 0.4929 | std_max 0.5000 | done_mean 0.9690 | energy_min_ratio 0.3647 | energy_neg_ratio 0.6949 | e_cons [4.266e+00, 8.000e+00] | first_emin_step 127.69 | act_clip_ratio 0.3921 | act_abs [1.621e+00, 9.072e+00] | act_mean_abs [1.481e+00, 8.076e+00] | act_mean_clip_ratio 0.3266 | clipped_act_abs [6.361e-01, 1.000e+00] | act_mean_abs_dim [3.889e+00, 4.507e-01, 1.021e-01] | act_mean_clip_dim [0.9784, 0.0013, 0.0000] | clipped_act_abs_dim [9.885e-01, 5.234e-01, 3.964e-01] | init_energy [-3.999e+02, 1.929e+02, 7.996e+02] | v_reach [-5.296e+02, 1.163e+03] | t_reach [-4.444e+02, 1.867e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0310 | t_done [-3.000e+02, 1.867e+03] | t_open [-4.444e+02, 7.716e+02] | v_open [-5.040e+02, 9.674e+02] | tmin_src done 0 t 185 v -4.258e+02 next_v -4.375e+02 g 6.156e+01 h -3.000e+02 energy 5.357e+01 | adv_total_std 2.386e+02 | adv_open_std 1.345e+02
