iter 00001 | success 0.021 | cost 50.1 | energy 159.6 | actor_loss 0.05170 | energy_loss 364.95429 | reach_loss 89260.10566 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 16.94s
iter 00002 | success 0.026 | cost 92.2 | energy 355.9 | actor_loss -0.00316 | energy_loss 147.14267 | reach_loss 90561.81973 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 15.19s
iter 00003 | success 0.025 | cost 79.4 | energy 424.1 | actor_loss -0.00729 | energy_loss 106.87602 | reach_loss 113945.22861 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 13.90s
iter 00004 | success 0.046 | cost 80.8 | energy 436.4 | actor_loss -0.01570 | energy_loss 97.97573 | reach_loss 111727.46826 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 13.00s
iter 00005 | success 0.031 | cost 89.7 | energy 408.1 | actor_loss -0.02800 | energy_loss 100.59612 | reach_loss 118477.18672 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 13.18s
iter 00006 | success 0.027 | cost 60.1 | energy 291.9 | actor_loss -0.05459 | energy_loss 86.37652 | reach_loss 124769.55752 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 13.46s
iter 00007 | success 0.020 | cost 81.5 | energy 387.7 | actor_loss -0.08251 | energy_loss 88.16379 | reach_loss 123624.18252 | entropy 4.2568 | gamma_reach 0.999238 | ent_coef 0.01000 | elapsed 16.56s
iter 00008 | success 0.020 | cost 50.7 | energy 158.3 | actor_loss -0.06991 | energy_loss 74.00941 | reach_loss 118338.15918 | entropy 4.2568 | gamma_reach 0.999277 | ent_coef 0.01000 | elapsed 15.45s
iter 00009 | success 0.032 | cost 56.3 | energy 300.2 | actor_loss -0.06377 | energy_loss 59.70507 | reach_loss 131418.32783 | entropy 4.2568 | gamma_reach 0.999317 | ent_coef 0.01000 | elapsed 16.49s
iter 00010 | success 0.021 | cost 53.3 | energy 337.1 | actor_loss -0.05740 | energy_loss 102.66295 | reach_loss 107596.41348 | entropy 4.2568 | gamma_reach 0.999356 | ent_coef 0.01000 | elapsed 17.06s
iter 00011 | success 0.013 | cost 25.2 | energy 181.1 | actor_loss -0.06525 | energy_loss 57.82925 | reach_loss 109617.59814 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 16.56s
iter 00012 | success 0.011 | cost 40.5 | energy 112.0 | actor_loss -0.05246 | energy_loss 92.82796 | reach_loss 106832.23955 | entropy 4.2568 | gamma_reach 0.999436 | ent_coef 0.01000 | elapsed 17.10s
iter 00013 | success 0.011 | cost 60.2 | energy 247.7 | actor_loss -0.06196 | energy_loss 127.90770 | reach_loss 92023.28281 | entropy 4.2568 | gamma_reach 0.999475 | ent_coef 0.01000 | elapsed 16.56s
iter 00014 | success 0.017 | cost 46.9 | energy 219.2 | actor_loss -0.03684 | energy_loss 135.37845 | reach_loss 76041.77373 | entropy 4.2568 | gamma_reach 0.999515 | ent_coef 0.01000 | elapsed 17.04s
iter 00015 | success 0.020 | cost 38.0 | energy 234.3 | actor_loss -0.06410 | energy_loss 109.37290 | reach_loss 82710.03828 | entropy 4.2568 | gamma_reach 0.999554 | ent_coef 0.01000 | elapsed 16.43s
iter 00016 | success 0.021 | cost 93.7 | energy 367.0 | actor_loss -0.08329 | energy_loss 122.74019 | reach_loss 74168.40693 | entropy 4.2568 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 16.98s
iter 00017 | success 0.017 | cost 76.8 | energy 250.5 | actor_loss -0.09963 | energy_loss 110.08816 | reach_loss 75272.81738 | entropy 4.2568 | gamma_reach 0.999634 | ent_coef 0.01000 | elapsed 16.59s
iter 00018 | success 0.023 | cost 99.8 | energy 351.6 | actor_loss -0.07183 | energy_loss 124.81497 | reach_loss 66343.62158 | entropy 4.2568 | gamma_reach 0.999673 | ent_coef 0.01000 | elapsed 16.18s
iter 00019 | success 0.009 | cost 37.0 | energy 376.5 | actor_loss -0.04802 | energy_loss 152.59714 | reach_loss 65393.03560 | entropy 4.2568 | gamma_reach 0.999713 | ent_coef 0.01000 | elapsed 16.00s
iter 00020 | success 0.035 | cost 86.2 | energy 432.9 | actor_loss -0.08194 | energy_loss 140.82077 | reach_loss 55606.44209 | entropy 4.2568 | gamma_reach 0.999752 | ent_coef 0.01000 | elapsed 15.59s
iter 00021 | success 0.053 | cost 86.2 | energy 427.8 | actor_loss -0.05123 | energy_loss 175.42974 | reach_loss 41420.41001 | entropy 4.2568 | gamma_reach 0.999792 | ent_coef 0.01000 | elapsed 16.92s
iter 00022 | success 0.030 | cost 73.5 | energy 423.3 | actor_loss -0.04561 | energy_loss 125.99204 | reach_loss 45908.86206 | entropy 4.2568 | gamma_reach 0.999832 | ent_coef 0.01000 | elapsed 16.81s
iter 00023 | success 0.012 | cost 25.2 | energy 120.9 | actor_loss -0.07382 | energy_loss 145.12013 | reach_loss 38698.87690 | entropy 4.2568 | gamma_reach 0.999871 | ent_coef 0.01000 | elapsed 16.47s
iter 00024 | success 0.015 | cost 73.7 | energy 402.5 | actor_loss -0.07935 | energy_loss 135.62338 | reach_loss 33721.59639 | entropy 4.2568 | gamma_reach 0.999911 | ent_coef 0.01000 | elapsed 16.77s
iter 00025 | success 0.012 | cost 32.2 | energy 193.2 | actor_loss -0.07642 | energy_loss 140.47231 | reach_loss 27813.90718 | entropy 4.2568 | gamma_reach 0.999950 | ent_coef 0.01000 | elapsed 16.86s
iter 00026 | success 0.026 | cost 81.4 | energy 405.1 | actor_loss -0.07010 | energy_loss 144.68067 | reach_loss 27745.39531 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.96s
iter 00027 | success 0.017 | cost 55.3 | energy 290.4 | actor_loss -0.05948 | energy_loss 133.99167 | reach_loss 24668.02014 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.98s
iter 00028 | success 0.032 | cost 73.4 | energy 415.4 | actor_loss -0.04621 | energy_loss 125.78341 | reach_loss 28200.92864 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.57s
iter 00029 | success 0.025 | cost 51.4 | energy 376.3 | actor_loss -0.02041 | energy_loss 121.25791 | reach_loss 16513.83190 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.69s
iter 00030 | success 0.016 | cost 54.4 | energy 296.3 | actor_loss 0.05273 | energy_loss 122.72973 | reach_loss 11956.81892 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.16s
iter 00031 | success 0.038 | cost 43.6 | energy 369.4 | actor_loss -0.01076 | energy_loss 149.28418 | reach_loss 8033.39005 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.41s
iter 00032 | success 0.034 | cost 48.3 | energy 486.1 | actor_loss -0.00921 | energy_loss 150.71126 | reach_loss 4615.66729 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.59s
iter 00033 | success 0.052 | cost 58.9 | energy 386.3 | actor_loss 0.02815 | energy_loss 142.83890 | reach_loss 4852.84079 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.32s
iter 00034 | success 0.033 | cost 38.5 | energy 409.1 | actor_loss 0.01376 | energy_loss 183.32796 | reach_loss 3664.82098 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.92s
iter 00035 | success 0.048 | cost 50.4 | energy 408.9 | actor_loss -0.00414 | energy_loss 136.51024 | reach_loss 3237.57929 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.21s
iter 00036 | success 0.068 | cost 67.9 | energy 390.6 | actor_loss 0.02262 | energy_loss 223.15545 | reach_loss 2396.77695 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.50s
iter 00037 | success 0.047 | cost 58.3 | energy 407.1 | actor_loss 0.08004 | energy_loss 206.82458 | reach_loss 3650.90154 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 14.06s
iter 00038 | success 0.024 | cost 22.0 | energy 297.6 | actor_loss 0.04045 | energy_loss 169.20890 | reach_loss 1885.92411 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 13.12s
iter 00039 | success 0.071 | cost 67.9 | energy 477.0 | actor_loss 0.00799 | energy_loss 160.80056 | reach_loss 1108.18320 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.36s
iter 00040 | success 0.030 | cost 31.6 | energy 345.1 | actor_loss -0.02939 | energy_loss 182.41901 | reach_loss 901.60772 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.11s
iter 00041 | success 0.040 | cost 49.0 | energy 400.0 | actor_loss 0.01268 | energy_loss 153.86759 | reach_loss 1857.52450 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.92s
iter 00042 | success 0.021 | cost 31.6 | energy 285.2 | actor_loss 0.06240 | energy_loss 184.79218 | reach_loss 4968.46281 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.65s
