iter 00001 | success 0.019 | cost 49.7 | policy_loss -0.00005 | value_loss 8337.34790 | Vmean -0.025 | Rmean 55.985 | Vrmse 129.212 | VexpVar 0.000 | adv_std 116.441 | elapsed 16.52s
iter 00002 | success 0.014 | cost 56.6 | policy_loss 0.00053 | value_loss 8330.76990 | Vmean 0.568 | Rmean 56.517 | Vrmse 129.152 | VexpVar 0.002 | adv_std 116.404 | elapsed 16.51s
iter 00003 | success 0.014 | cost 77.1 | policy_loss -0.00026 | value_loss 7157.45926 | Vmean 1.337 | Rmean 50.764 | Vrmse 119.708 | VexpVar 0.003 | adv_std 109.028 | elapsed 16.56s
iter 00004 | success 0.015 | cost 32.5 | policy_loss -0.00004 | value_loss 7211.78836 | Vmean 2.040 | Rmean 49.282 | Vrmse 120.152 | VexpVar 0.005 | adv_std 110.475 | elapsed 16.76s
iter 00005 | success 0.025 | cost 61.3 | policy_loss -0.00018 | value_loss 7046.66934 | Vmean 2.843 | Rmean 45.827 | Vrmse 118.777 | VexpVar 0.009 | adv_std 110.727 | elapsed 16.47s
iter 00006 | success 0.016 | cost 82.3 | policy_loss -0.00003 | value_loss 6818.23840 | Vmean 3.357 | Rmean 48.105 | Vrmse 116.824 | VexpVar 0.010 | adv_std 107.914 | elapsed 16.46s
iter 00007 | success 0.032 | cost 91.5 | policy_loss -0.00033 | value_loss 6807.12109 | Vmean 4.057 | Rmean 43.332 | Vrmse 116.734 | VexpVar 0.012 | adv_std 109.929 | elapsed 16.50s
iter 00008 | success 0.033 | cost 81.4 | policy_loss -0.00021 | value_loss 6878.21393 | Vmean 4.411 | Rmean 44.708 | Vrmse 117.325 | VexpVar 0.014 | adv_std 110.188 | elapsed 16.58s
iter 00009 | success 0.035 | cost 93.6 | policy_loss -0.00028 | value_loss 6174.92651 | Vmean 5.114 | Rmean 39.399 | Vrmse 111.177 | VexpVar 0.020 | adv_std 105.759 | elapsed 16.55s
iter 00010 | success 0.032 | cost 86.8 | policy_loss -0.00016 | value_loss 6083.14545 | Vmean 5.748 | Rmean 39.891 | Vrmse 110.341 | VexpVar 0.021 | adv_std 104.925 | elapsed 16.57s
iter 00011 | success 0.041 | cost 90.3 | policy_loss -0.00037 | value_loss 5967.88361 | Vmean 6.005 | Rmean 38.317 | Vrmse 109.296 | VexpVar 0.025 | adv_std 104.411 | elapsed 16.52s
iter 00012 | success 0.040 | cost 93.2 | policy_loss -0.00034 | value_loss 6759.62610 | Vmean 6.418 | Rmean 43.863 | Vrmse 116.328 | VexpVar 0.027 | adv_std 110.137 | elapsed 16.49s
iter 00013 | success 0.039 | cost 94.8 | policy_loss -0.00044 | value_loss 6087.50595 | Vmean 6.441 | Rmean 39.230 | Vrmse 110.408 | VexpVar 0.032 | adv_std 105.427 | elapsed 16.49s
iter 00014 | success 0.045 | cost 93.9 | policy_loss -0.00041 | value_loss 6135.02243 | Vmean 6.688 | Rmean 38.514 | Vrmse 110.838 | VexpVar 0.038 | adv_std 106.170 | elapsed 16.48s
iter 00015 | success 0.055 | cost 96.8 | policy_loss -0.00042 | value_loss 6475.14255 | Vmean 6.915 | Rmean 37.954 | Vrmse 113.865 | VexpVar 0.046 | adv_std 109.553 | elapsed 16.60s
iter 00016 | success 0.064 | cost 109.5 | policy_loss -0.00036 | value_loss 5938.53174 | Vmean 7.319 | Rmean 32.480 | Vrmse 109.041 | VexpVar 0.056 | adv_std 106.098 | elapsed 16.58s
iter 00017 | success 0.070 | cost 110.2 | policy_loss -0.00025 | value_loss 6156.58209 | Vmean 7.742 | Rmean 33.469 | Vrmse 111.032 | VexpVar 0.062 | adv_std 108.011 | elapsed 16.58s
iter 00018 | success 0.065 | cost 101.1 | policy_loss -0.00039 | value_loss 6039.61813 | Vmean 7.767 | Rmean 32.139 | Vrmse 109.963 | VexpVar 0.072 | adv_std 107.228 | elapsed 16.52s
iter 00019 | success 0.085 | cost 113.9 | policy_loss -0.00035 | value_loss 6540.82059 | Vmean 7.530 | Rmean 33.081 | Vrmse 114.443 | VexpVar 0.083 | adv_std 111.554 | elapsed 16.42s
iter 00020 | success 0.087 | cost 109.3 | policy_loss -0.00042 | value_loss 6195.49213 | Vmean 7.721 | Rmean 28.468 | Vrmse 111.374 | VexpVar 0.097 | adv_std 109.424 | elapsed 16.52s
iter 00021 | success 0.107 | cost 108.0 | policy_loss -0.00052 | value_loss 6307.13989 | Vmean 7.267 | Rmean 22.610 | Vrmse 112.380 | VexpVar 0.120 | adv_std 111.328 | elapsed 16.99s
iter 00022 | success 0.135 | cost 111.7 | policy_loss -0.00048 | value_loss 6696.41327 | Vmean 6.807 | Rmean 20.432 | Vrmse 115.796 | VexpVar 0.139 | adv_std 114.991 | elapsed 16.91s
iter 00023 | success 0.137 | cost 111.6 | policy_loss -0.00049 | value_loss 6399.91443 | Vmean 6.718 | Rmean 17.195 | Vrmse 113.210 | VexpVar 0.157 | adv_std 112.724 | elapsed 16.60s
iter 00024 | success 0.126 | cost 104.4 | policy_loss -0.00023 | value_loss 6249.35910 | Vmean 6.999 | Rmean 18.202 | Vrmse 111.852 | VexpVar 0.163 | adv_std 111.290 | elapsed 16.45s
iter 00025 | success 0.146 | cost 106.0 | policy_loss -0.00031 | value_loss 6573.05994 | Vmean 6.119 | Rmean 15.881 | Vrmse 114.722 | VexpVar 0.179 | adv_std 114.306 | elapsed 16.63s
iter 00026 | success 0.154 | cost 106.9 | policy_loss -0.00066 | value_loss 6589.28177 | Vmean 5.606 | Rmean 12.687 | Vrmse 114.857 | VexpVar 0.200 | adv_std 114.638 | elapsed 16.53s
iter 00027 | success 0.139 | cost 107.1 | policy_loss -0.00041 | value_loss 6196.58514 | Vmean 6.026 | Rmean 13.793 | Vrmse 111.393 | VexpVar 0.212 | adv_std 111.122 | elapsed 16.50s
iter 00028 | success 0.157 | cost 111.0 | policy_loss -0.00038 | value_loss 6914.40054 | Vmean 5.736 | Rmean 17.539 | Vrmse 117.663 | VexpVar 0.216 | adv_std 117.070 | elapsed 16.54s
